batch_size	lr	frame_length	frame_shift	num_mel_bins	xent	accuracy
64	0.2	25.0	10.0	40	0.14022517342156932	95.43780687397708
64	0.05	33.0	10.0	80	0.14022569828879794	95.47872340425532
64	0.19481793551140802	7.0	6.0	22	0.14523307721014894	95.49918166939445
64	0.2	49.0	10.0	40	0.13333060634718125	95.49918166939445
64	0.05	33.0	10.0	40	0.12628596561528693	95.51963993453356
64	0.05	13.0	10.0	80	0.13994556756270135	95.51963993453356
64	0.1	49.0	10.0	40	0.13745214561231775	95.51963993453356
64	0.1	30.0	10.0	20	0.1347053648989185	95.54009819967266
64	0.05	35.0	10.0	40	0.13057845472236426	95.54009819967266
64	0.1	29.0	10.0	40	0.13252051541386964	95.54009819967266
64	0.2	30.0	10.0	20	0.12974903772712923	95.56055646481178
64	0.5358301547695102	43.0	17.0	31	0.13464428883752014	95.62193126022913
64	0.2	25.0	11.0	40	0.1284365923770892	95.62193126022913
64	0.058175614838565134	39.0	16.0	66	0.1311419868363932	95.62193126022913
64	0.2	25.0	15.0	40	0.13468291082920117	95.62193126022913
64	0.05	31.0	10.0	40	0.1298078683454519	95.62193126022913
64	0.05	21.0	10.0	40	0.12453040487309491	95.64238952536824
64	0.04417485939486879	32.0	5.0	20	0.13096113006273905	95.64238952536824
64	0.05	37.0	10.0	40	0.12853323512412365	95.64238952536824
64	0.2	25.0	10.0	40	0.13318147463419663	95.66284779050737
64	0.1	25.0	9.0	40	0.14532333870534025	95.66284779050737
64	0.2	19.0	10.0	40	0.12716836439676923	95.68330605564648
64	0.2	29.0	10.0	40	0.13321183388139687	95.7037643207856
64	0.2	27.0	10.0	40	0.12897956548251052	95.7037643207856
64	0.05	30.0	10.0	20	0.1321076416369418	95.72422258592471
64	0.621788419588486	26.0	10.0	54	0.12962477564928881	95.72422258592471
64	0.05	25.0	10.0	20	0.12533772789745354	95.74468085106383
64	0.1	25.0	13.0	40	0.13111430205088231	95.76513911620295
64	0.1	35.0	10.0	40	0.13534407592774217	95.78559738134206
64	0.2	17.0	10.0	40	0.12621625134678788	95.78559738134206
64	0.1	25.0	10.0	20	0.12262933693059228	95.80605564648118
64	0.2	15.0	10.0	40	0.12495537772713826	95.80605564648118
64	0.05	25.0	7.0	40	0.13433543834348324	95.8265139116203
64	0.1	25.0	17.0	40	0.12773931029711522	95.8265139116203
64	0.05	25.0	9.0	40	0.1255349203505937	95.84697217675941
64	0.2	30.0	10.0	40	0.12981054823529098	95.84697217675941
64	0.1	17.0	10.0	40	0.12504864113977532	95.84697217675941
64	0.05	25.0	10.0	40	0.12323026724305808	95.84697217675941
64	0.2	33.0	10.0	40	0.12117810531905883	95.84697217675941
64	0.2	45.0	10.0	40	0.13106808889340732	95.92880523731587
64	0.05	17.0	10.0	40	0.13224217475824107	95.92880523731587
64	0.017284996492463827	33.0	8.0	23	0.12147174956995288	95.949263502455
64	0.05	49.0	10.0	40	0.11586301200802505	95.949263502455
64	0.2	25.0	10.0	60	0.1230395349201798	95.949263502455
64	0.2	43.0	10.0	40	0.12206286290950398	95.949263502455
64	0.1	31.0	10.0	40	0.11722984804400528	95.949263502455
64	0.1	25.0	10.0	40	0.12422127784625475	95.96972176759411
64	0.1	39.0	10.0	40	0.13202559232127434	95.96972176759411
64	0.05	45.0	10.0	40	0.12100550891174112	95.99018003273322
64	0.05	30.0	10.0	40	0.11392333459115155	96.01063829787235
64	0.1	25.0	7.0	40	0.1134471721578925	96.01063829787235
64	0.1	27.0	10.0	40	0.12334121604224825	96.01063829787235
64	0.2	39.0	10.0	40	0.12156562039665147	96.01063829787235
64	0.05	27.0	10.0	40	0.13098162059593044	96.03109656301146
64	0.05	29.0	10.0	40	0.12354752803038732	96.05155482815057
64	0.1	23.0	10.0	40	0.11502645852872068	96.07201309328968
64	0.2	23.0	10.0	40	0.1159653794476945	96.11292962356792
64	0.1	37.0	10.0	40	0.12304230013350938	96.15384615384616
64	0.29885298123723675	50.0	5.0	58	0.12520338127426073	96.15384615384616
